economy,item,unit,item_code_new,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
02_BD,aluminium_production,thousand tonnes,13_3_nonferrous_metals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03_CDA,aluminium_production,thousand tonnes,13_3_nonferrous_metals,11571,11183,9288,8676,9559,11235,11687,13892,13268,13000,1570,1820,1970,2310,2250,2172,2283,2327,2374,2390,2373,2583,2708.91,2791.915,2592.16,2894.204,3051.127,3082.625,3120.148,3030.269,2963.21,2987.964,2780.556,2969.348,2858.238,2880.035,3210,3210,2900
04_CHL,aluminium_production,thousand tonnes,13_3_nonferrous_metals,1745,2054,1248,1389,1354,1570,1580,1757,2021,1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05_PRC,aluminium_production,thousand tonnes,13_3_nonferrous_metals,88030,92594,103697,119325,133468,157100,178000,198000,224000,228000,850,963,1100,1220,1450,1676,1771,2035,2340,2598,2794,3371,4321,5547,6689,7806,9349,12588,13105,12964,16131,20072,23534,26534,28317,31672,31900,32300,33000
06_HKC,aluminium_production,thousand tonnes,13_3_nonferrous_metals,1641,1673,1582,1892,2037,2023,2465,2454,2413,2400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07_INA,aluminium_production,thousand tonnes,13_3_nonferrous_metals,6417,7596,8268,9025,11795,11112,12060,13055,13495,15541,186,187,173,206,220,228,223,219,133,106,160,180,160,200,247,252.3,250.3,242.1,242.5,250,252,244.1,248,255.3,210.5,250,250,242.37,245.726
08_JPN,aluminium_production,thousand tonnes,13_3_nonferrous_metals,96957,93506,88943,89167,86918,80300,78555,78871,85489,89600,34,32,19,18,17,18,17,17,16,11,6.5,7,6.413,6.463,6.433,6.5,6.6,57,59,39,54,43.324,25.774,29.07,45.853,42,45,52.954,57.0499
09_ROK,aluminium_production,thousand tonnes,13_3_nonferrous_metals,17209,17215,19717,23459,22501,22514,25797,28287,31961,33592,2,,,,,,,,,,,,,,,,,,,,,539,621,603,620,640,664.9,667.22,691.026
10_MAS,aluminium_production,thousand tonnes,13_3_nonferrous_metals,2589,3123,3443,3562,3671,3448,3934,3655,4161,5284,,,,,,,,,,,,,,,,,,,,,,80,120,290.772,400,440,620,718.9228,816.82944
11_MEX,aluminium_production,thousand tonnes,13_3_nonferrous_metals,17905,19817,21272,18814,19842,22796,21772,24633,24816,25900,68,51,25,,,10,62,66,62,63,61,52,39,,,,,,,,,239,261,220,263,261,262.6,266.78,282.624
12_NZ,aluminium_production,thousand tonnes,13_3_nonferrous_metals,794,837,861,838,907,1069,999,970,990,1050,260,258,243,277,271,273,285,310,318,327,328,322,335,340,350.4,351.4,337.3,353,315.5,271,344,354.029,326.963,324.835,328.269,333,339,340.0851,345.40718
13_PNG,aluminium_production,thousand tonnes,13_3_nonferrous_metals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14_PE,aluminium_production,thousand tonnes,13_3_nonferrous_metals,2391,3395,2855,2535,2425,1937,2432,2849,2800,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15_RP,aluminium_production,thousand tonnes,13_3_nonferrous_metals,4939,4508,4795,5504,5512,3395,3910,3660,4700,4400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16_RUS,aluminium_production,thousand tonnes,13_3_nonferrous_metals,,,,,,,,,,,,,2700,2820,2670,2724,2874,2906,3005,3146,3245,3300,3347.413,3478.057,3591.747,3647.072,3717.907,3955.417,4190,3815,3947,3992.999,4024,3601,3300,3530,3560,3580,3700
17_SIN,aluminium_production,thousand tonnes,13_3_nonferrous_metals,2152,2484,2971,3476,3417,2195,1989,1684,1759,1881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
