Economy,Year,GDP,Population,GDPpercap,lnGDPpercap
USA,2032,2601.5167122399803,353335.4520000001,0.007362738999198924,-4.911323268840445
VN,2032,234.07357579311198,105117.644,0.0022267772267908896,-6.10719992858395
AUS,2033,92.1660070224283,28925.692000000006,0.0031863025791199146,-5.7488941005286085
BD,2033,4.23322564359679,477.936,0.008857306508814548,-4.72651256636141
CDA,2033,230.24236700663502,41693.455,0.005522266432624378,-5.198966917339986
CHL,2033,56.665676746572,19709.544,0.0028750374309305174,-5.8516895853634825
PRC,2033,10260.7495732097,1463480.846,0.007011194988478653,-4.960247123351342
HKC,2033,5.10009860903698,8094.3780000000015,0.0006300791251702082,-7.369665150956885
INA,2033,1064.6901769646702,305733.068,0.003482417469361443,-5.660028551266955
JPN,2033,1193.3415035160099,118636.758,0.010058783834231292,-4.5993090128479714
KOR,2033,792.9572480365359,50916.671,0.015573627113927693,-4.162176364972094
MAS,2033,313.754483785504,37012.453,0.008476997830581616,-4.770398921274078
MEX,2033,576.626100705083,143899.675,0.004007139701358485,-5.519677583608827
NZ,2033,28.925579233940702,5261.491,0.005497601199724698,-5.203443427387427
PNG,2033,1.92601167824842,11248.502,0.00017122383747172911,-8.672538866380771
PE,2033,80.61356405009418,36867.743,0.002186560865689396,-6.125425350458086
RP,2033,329.73011546531103,127583.581,0.002584424366214576,-5.958252478134577
RUS,2033,596.43509515543,142031.804,0.004199306622588769,-5.472835857181463
SIN,2033,141.00957439151503,6344.626,0.022225041222526755,-3.8065356428020327
CT,2033,553.8501028661769,23972.199,0.02310385054229597,-3.7677559852029647
THA,2033,492.5896521144229,70131.526,0.007023797715658189,-4.958451222087628
USA,2033,2640.4352133687603,355162.92,0.007434433789903406,-4.901632856656765
VN,2033,245.526866565187,105539.068,0.0023264073789735096,-6.0634300987879834
AUS,2034,94.22563019580929,29169.6,0.0032302681626011085,-5.735190122716624
BD,2034,4.222175635578028,479.927,0.008797537199569994,-4.733283460352354
