Economy,Year,GDP,SteelProduction,Population,GDPpercap,PROpercap,lnGDPpercap,lnPROpercap
BD,1993,2.45136161494037,1.0,281.684,0.00870252344804948,0.0035500773916871385,-4.744142243878463,-5.6407858752571896
CDA,1993,146.522842217822,14.39,28547.964,0.0051325146065695606,0.0005040639675740099,-5.27215956317761,-7.592807378156839
CHL,1993,31.187582018489397,1.07,13944.934,0.002236481149246701,7.673037391213183e-05,-6.102851563811578,-9.475212918697407
PRC,1993,728.4123789149229,89.56,1218817.059,0.000597638811777513,7.348108507234145e-05,-7.422523980174396,-9.518482530819174
HKC,1993,8.99959926207041,0.15,5928.33599999999,0.0015180649784476495,2.5302209591359235e-05,-6.490318795623338,-10.584618830417487
INA,1993,222.351165967587,3.8,190851.184,0.0011650499688154253,1.9910801286933592e-05,-6.754991301197235,-10.824248195246785
JPN,1993,965.4367811860492,99.62,125707.407,0.007680030988039147,0.0007924751800822684,-4.869131696929766,-7.140349371211451
KOR,1993,161.496099726527,33.03,44335.037,0.0036426291857279158,0.0007450089643547609,-5.615049554297905,-7.202114306966153
MAS,1993,63.16010345492611,1.81,19484.901,0.003241489574667385,9.289244015147934e-05,-5.731722309560663,-9.284068291650758
MEX,1993,251.05939406716297,9.2,88625.44,0.00283281407761883,0.00010380766515799526,-5.8664846876721395,-9.172970744506179
NZ,1993,17.3402907001033,0.85,3564.473,0.00486475579983445,0.00023846442377316367,-5.325738759910378,-8.341290425331861
PNG,1993,1.40211502329633,1.0,4949.053,0.00028330976113942,0.00020205885853313756,-8.168969696587517,-8.50695152412873
PE,1993,20.0699553079053,0.42,23408.135,0.0008573923256981089,1.7942480253125678e-05,-7.061614954507461,-10.928339458207054
RP,1993,61.367532218468114,0.62,66593.90400000001,0.0009215187657186776,9.31016148264862e-06,-6.989487416744136,-11.584404121750683
RUS,1993,362.62728761500006,58.35,148373.584,0.002444015153094907,0.0003932640732059152,-6.014113037571343,-7.841029229747177
SIN,1993,35.3539156327069,0.52,3305.801,0.010694508118518598,0.00015729924457037796,-4.538024929228786,-8.75736055038851
CT,1993,55.948905149032896,11.97,21044.7,0.002658574612564346,0.000568789291365522,-5.929965159750992,-7.472000506365685
THA,1993,134.717448642274,0.95,58337.773,0.00230926622177151,1.6284474897593366e-05,-6.070825457823574,-11.02529836430041
USA,1993,1728.1593806354,88.79,259532.13,0.0066587492679052885,0.0003421156370889416,-5.011823609677838,-7.980361757908298
VN,1993,21.469202985557498,0.27,72300.308,0.0002969448343920955,3.734423925275671e-06,-8.12196417920146,-12.497916988149207
AUS,1994,76.5261776372653,8.42,17798.526,0.004299579506598765,0.00047307288255218433,-5.44923805022737,-7.656261095608324
BD,1994,2.4755046999953096,1.0,289.452,0.008552384160397266,0.00345480425079115,-4.761545185735401,-5.667989480157386
CDA,1994,153.108261861854,13.88,28860.734,0.005305071654167008,0.0004809302493831238,-5.239092000095625,-7.6397883100512205
CHL,1994,32.7009559522352,1.04,14166.346,0.002308355023393838,7.341342644038203e-05,-6.071220119204887,-9.519403717540817
PRC,1994,823.485918763312,92.61,1230020.02599999,0.0006694898467964608,7.529145708396845e-05,-7.308994558300602,-9.494143881334688
HKC,1994,9.54282282967652,0.15,5999.6190000000015,0.0015905714729012822,2.5001587600812645e-05,-6.44366191040574,-10.596571231079864
INA,1994,250.29861363267003,3.22,193917.458,0.0012907482194443266,1.6605003145204184e-05,-6.652533213679163,-11.005806513722503
JPN,1994,975.024209118941,98.3,126053.127,0.007735025955515892,0.0007798299204429891,-4.861996439369216,-7.156434712771267
