Economy,Year,GDP,SteelProduction,Population
HKC,2003,7.923715691198651,1.0,6724.687
INA,2003,385.76158182889696,2.04,220309.473
JPN,2003,970.7304972737642,110.51,128058.368
KOR,2003,288.90943253534493,46.31,48260.901
MAS,2003,123.850197975945,3.96,24698.821
MEX,2003,295.019362417427,15.16,103081.02
NZ,2003,20.5149431475797,0.85,4022.074
PNG,2003,1.11971508331517,1.0,6223.378000000001
PE,2003,28.922157768079494,0.67,27372.217
RP,2003,92.9512685343004,0.5,83051.97
RUS,2003,367.0392546100461,61.45,144610.876
SIN,2003,60.104897068064105,0.56,4129.227
CT,2003,113.75733616208099,18.83,22419.785
THA,2003,216.375601910326,3.55,64549.867
USA,2003,1995.05107266424,93.68,289815.567
VN,2003,57.93370262647961,0.54,82301.65
AUS,2004,91.58887887112749,7.41,19879.654
BD,2004,3.37260440000462,1.0,359.434
CDA,2004,190.05645670833505,16.31,31815.49
CHL,2004,44.080689209117004,1.58,16014.972
PRC,2004,1979.63833451048,272.8,1323084.639
HKC,2004,8.3127847467526,1.0,6744.563
INA,2004,402.48680975118,3.68,223285.66600000003
JPN,2004,1002.56935354536,112.72,128204.183
KOR,2004,326.598619976551,47.52,48493.434
MAS,2004,134.237681550035,5.7,25190.647
MEX,2004,307.508597232057,16.74,104514.93400000001
NZ,2004,21.107751193747198,0.89,4080.421
PNG,2004,1.1807549335746699,1.0,6354.24699999999
PE,2004,32.276418338922504,0.73,27624.226000000002
RP,2004,96.3826311061669,0.4,84710.54400000001
RUS,2004,416.721449275289,65.58,144080.649
SIN,2004,72.2808772036493,0.61,4177.202
CT,2004,130.747722407034,19.6,22570.229
THA,2004,228.677006791663,4.53,64995.303
USA,2004,2049.7076404504396,99.68,292354.663
VN,2004,62.3300449116374,0.69,83062.819
AUS,2005,89.71190195816841,7.76,20178.543
BD,2005,3.1360245961135798,1.0,365.11199999999997
CDA,2005,186.998791780588,15.33,32164.313
CHL,2005,41.758569657173,1.54,16182.713
PRC,2005,2213.4305450369798,355.79,1330776.38
HKC,2005,8.3628314435538,1.0,6769.579000000001
INA,2005,415.420400118107,3.68,226289.468
JPN,2005,1034.16509904637,112.47,128326.115
KOR,2005,336.705640522392,47.82,48701.069
MAS,2005,128.230289408628,5.3,25690.615
MEX,2005,296.99744900011,16.2,106005.19900000001
NZ,2005,21.762367627183203,0.89,4135.353
PNG,2005,0.437578756254416,1.0,6494.90199999999
PE,2005,34.67998165967209,0.79,27866.14
RP,2005,101.430743675049,0.47,86326.2509999999
RUS,2005,456.90364200181887,66.15,143672.125
SIN,2005,77.4781398024563,0.57,4265.693
CT,2005,148.96961204675898,18.94,22705.718999999903
THA,2005,239.78084397424306,5.16,65416.189000000006
USA,2005,2091.59672408057,94.9,294993.50899999996
VN,2005,62.04349217276391,0.89,83832.662
AUS,2006,88.21044637912281,7.88,20526.3
BD,2006,2.81001459860113,1.0,370.26199999999994
CDA,2006,183.50701710427902,15.49,32536.994
CHL,2006,40.036347656855995,1.61,16354.507
PRC,2006,2522.82952514382,421.02,1338408.644
HKC,2006,8.41606408987049,1.0,6802.0830000000005
INA,2006,440.35236640297103,3.76,229318.262
JPN,2006,1047.3497011608001,116.23,128422.74
KOR,2006,348.089219483695,48.46,48880.449
MAS,2006,135.472388848459,5.83,26201.953999999998
MEX,2006,328.7665205276209,16.45,107560.155
NZ,2006,20.4961391047518,0.81,4185.8820000000005
PNG,2006,0.4612515217383499,1.0,6646.891
PE,2006,37.1120723324608,0.9,28102.055
RP,2006,104.830324466957,0.56,87888.675
RUS,2006,482.10568804630304,70.83,143403.258
SIN,2006,82.89952152168199,0.61,4402.3240000000005
CT,2006,167.440703190991,20.0,22823.846
THA,2006,256.28171065089697,4.91,65812.54
USA,2006,2151.48389455908,98.19,297758.977
VN,2006,68.3384578386695,1.87,84617.545
