economy,item,unit,item_code_new,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
05_PRC,8th_aluminium_production_projection,thousand tonnes,14_3_non_ferrous_metals,12964.0,16131.0,20072.0,23534.0,26534.0,28317.0,31672.0,31900.0,32300.0,35800.0
05_PRC,8th_cement_production_projection,thousand tonnes,14_4_nonmetallic_mineral_products,1644000.0,1822000.0,2099000.0,2210000.0,2416000.0,2492000.0,2350000.0,2400000.0,2320000.0,2370000.0
05_PRC,8th_cement_production_projection_nz,thousand tonnes,14_4_nonmetallic_mineral_products,1644000.0,1822000.0,2099000.0,2210000.0,2416000.0,2492000.0,2350000.0,2400000.0,2320000.0,2370000.0
05_PRC,8th_transport_production_projection,GVA millions USD,14_5_transportation_equipment,100463.5,117654.8,146233.7,165433.90000000002,162658.4,176626.8,184384.8,210664.9782,226635.09746999998,241304.43417000002
05_PRC,8th_machinery_production_projection,GVA millions USD,14_6_machinery,153314.0,184088.3,224357.6,217459.2,253750.5,277485.9,269358.2,316150.1327,339031.1592,359775.0262
05_PRC,8th_mining_production_projection,GVA millions USD,14_7_mining_and_quarrying,62270.3,75443.7,94277.1,90151.5,91225.5,86060.9,85902.9,108309.7491,113213.8997,116888.8441
05_PRC,8th_food_beverage_tobacco_production_projection,GVA millions USD,14_8_food_beverages_and_tobacco,158336.6,185021.1,224138.0,262322.6,314371.7,340061.2,325568.9,377566.8218,410975.7388,443038.6136
05_PRC,8th_pulp_paper_production_projection,tonnes,14_9_pulp_paper_and_printing,186864201.0,201585201.0,216199601.0,223673501.0,221053801.0,232904101.0,236680501.0,239661901.0,245688701.0,236277201.0
05_PRC,8th_wood_production_projection,GVA millions USD,14_10_wood_and_wood_products,26387.7,31340.2,37650.2,39290.7,48685.0,52750.1,47047.4,57254.92909,61811.48512,66155.89995
05_PRC,8th_construction_production_projection,GVA millions USD,14_11_construction,287340.1,343139.9,432013.8,494980.8,562221.9,623485.4,641204.3,718853.4436,785958.6213,850171.6612
05_PRC,8th_textiles_production_projection,GVA millions USD,14_12_textiles_and_leather,119586.1,143763.2,174514.3,193810.6,218935.7,235698.4,222936.5,262914.7836,283337.725,302927.3058
05_PRC,8th_nonspecified_production,index,14_13_nonspecified_industry,574.711012514893,632.2886057794216,688.8096984081707,738.8100302821854,791.8138718326663,845.016323657571,898.6195926816414,954.2718734705918,1013.7534477885877,1075.3123639145429
06_HKC,8th_steel_production_projection,thousand tonnes,14_1_iron_and_steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06_HKC,8th_steel_production_projection_nz,thousand tonnes,14_1_iron_and_steel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06_HKC,8th_chemicals_production_projection,thousand tonnes,14_2_chemical_incl_petrochemical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06_HKC,8th_chemicals_production_projection_nz,thousand tonnes,14_2_chemical_incl_petrochemical,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06_HKC,8th_aluminium_production_projection,thousand tonnes,14_3_non_ferrous_metals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06_HKC,8th_cement_production_projection,thousand tonnes,14_4_nonmetallic_mineral_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06_HKC,8th_cement_production_projection_nz,thousand tonnes,14_4_nonmetallic_mineral_products,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06_HKC,8th_transport_production_projection,GVA millions USD,14_5_transportation_equipment,1659.2,1740.0,1962.8,2258.7000000000003,2468.5,2641.6,2924.2999999999997,2902.3218177,3120.0315704,3329.2436785
06_HKC,8th_machinery_production_projection,GVA millions USD,14_6_machinery,530.4,485.1,573.6,604.2,630.8,678.6,745.7,741.4945455,767.3580165,804.7103201
06_HKC,8th_mining_production_projection,GVA millions USD,14_7_mining_and_quarrying,69.3,67.4,76.4,79.6,82.8,89.9,108.7,100.7872727,105.5517355,110.3694245
06_HKC,8th_food_beverage_tobacco_production_projection,GVA millions USD,14_8_food_beverages_and_tobacco,6761.9,7588.7,7313.1,9236.3,10377.7,11249.9,12332.8,12113.11818,12846.61388,13626.3434
06_HKC,8th_pulp_paper_production_projection,tonnes,14_9_pulp_paper_and_printing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06_HKC,8th_wood_production_projection,GVA millions USD,14_10_wood_and_wood_products,14.4,14.4,15.9,22.6,23.6,23.7,26.1,26.76727273,28.96809917,30.88010218
06_HKC,8th_construction_production_projection,GVA millions USD,14_11_construction,6569.2,6038.1,7697.9,8177.7,8492.4,8976.3,9461.1,9593.325455,9906.10562,10352.039
