Economy,Predicted Steel Production per capita,Year,Population,Predicted Steel Production
NZ,0.00012377048336470386,2040,5433.0,0.672445036120436
NZ,0.0001223178754005424,2041,5453.896,0.6671089713755166
NZ,0.00012088455496228511,2042,5473.98699999999,0.661720482364333
NZ,0.00011946999555343437,2043,5493.293000000001,0.6562836902837123
NZ,0.0001180736633843516,2044,5511.82,0.6508007793151368
NZ,0.0001166951047926183,2045,5529.569,0.6452736339130136
NZ,0.00011533391431709263,2046,5546.57199999999,0.639707859801584
NZ,0.00011398895811283826,2047,5562.882,0.6341071232846619
NZ,0.00011265988774350785,2048,5578.512,0.6284745356958115
NZ,0.00011134643155676885,2049,5593.464,0.6228122564412505
NZ,0.00011004833892562602,2050,5607.793000000001,0.6171283046887532
PNG,0.00011246044410081147,2019,8776.119,0.9869662402215695
PNG,0.0001099725263556523,2020,8947.027,0.9839271625622327
PNG,0.00010754108340443881,2021,9119.005,0.9806676772704944
PNG,0.0001051643879041656,2022,9292.171999999999,0.9772055806802261
PNG,0.00010284034869928518,2023,9466.431,0.973531064977723
PNG,0.00010056777036321986,2024,9641.706,0.9696448749176791
PNG,9.834529767024138e-05,2025,9817.917,0.9655459698667233
PNG,9.617201822659015e-05,2026,9994.969000000001,0.9612363408422036
PNG,9.404674263329464e-05,2027,10172.751,0.9567140951695906
PNG,9.196840989574113e-05,2028,10351.151,0.9519788980607107
PNG,8.993598291179271e-05,2029,10530.056,0.9470309364762204
PNG,8.794851160062534e-05,2030,10709.351,0.9418714806586687
PNG,8.600493125645929e-05,2031,10888.951000000001,0.9365034822099537
PNG,8.410427405971223e-05,2032,11068.738000000001,0.9309281742471511
PNG,8.224559378372603e-05,2033,11248.502,0.9251397261674298
PNG,8.042801173550154e-05,2034,11427.99,0.9191305138331942
PNG,7.865056944755328e-05,2035,11606.998,0.912897002276612
PNG,7.691242245032747e-05,2036,11785.3939999999,0.906443202071547
PNG,7.521265973792111e-05,2037,11963.133,0.8997790517284954
PNG,7.3550470030922e-05,2038,12140.216,0.8929185930769199
PNG,7.192498677262848e-05,2039,12316.705,0.8858788442073671
PNG,7.033543113806683e-05,2040,12492.601,0.8786724773708449
PNG,6.878097858217038e-05,2041,12667.861,0.8713078761229115
PNG,6.72608818243017e-05,2042,12842.389,0.8637904088707121
PNG,6.577437940290048e-05,2043,13016.12,0.8561272152336811
PNG,6.432070494109204e-05,2044,13188.99,0.8483251342610135
PNG,6.289909419447895e-05,2045,13360.906,0.840388885017579
PNG,6.15089450787544e-05,2046,13531.839,0.8323291418655469
PNG,6.0149661700322725e-05,2047,13701.743,0.824155206154765
PNG,5.882019924817949e-05,2048,13870.481000000002,0.815864456088088
PNG,5.7520249063758155e-05,2049,14037.961000000001,0.8074670130673236
